url,name,Parking Spaces,Floor Size,Garden,Listing Number,Type of Property,Listing Date,Pets Allowed,Reception Rooms,Erf Size,Pool,price2,address,days_since_listing,Bedrooms2,Bathrooms2,Garages,Parking
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114602470,3 Bedroom House for Sale,4.0,175.0,Yes,114602470.0,House,2024-07-01,Yes,1.0,250.0,No,3295000,Sandown,37,3.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114248332,3 Bedroom House for Sale,3.0,145.0,No,114248332.0,House,2024-04-09,Yes,2.0,250.0,No,2499000,Sandown,120,3.0,2.0,1.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114555481,3 Bedroom Apartment / Flat for Sale,1.0,113.0,No,114555481.0,Apartment / Flat,2024-06-19,No,0.0,113.0,No,1879500,Sandown,49,3.0,2.0,0.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114609518,4 Bedroom House for Sale,4.0,210.0,Yes,114609518.0,House,2024-07-02,Yes,2.0,250.0,No,3995000,Sandown,36,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114596500,4 Bedroom House for Sale,2.0,248.0,Yes,114596500.0,House,2024-06-29,Yes,0.0,293.0,No,3995000,Sandown,39,4.0,3.0,1.0,1.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114618507,3 Bedroom House for Sale,4.0,165.0,Yes,114618507.0,House,2024-07-04,Yes,2.0,246.0,No,3150000,Sandown,34,3.0,2.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114410825,4 Bedroom House for Sale,4.0,227.0,Yes,114410825.0,House,2024-05-16,Yes,0.0,250.0,No,3995000,Sandown,83,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114677316,4 Bedroom House for Sale,4.0,220.0,No,114677316.0,House,2024-07-17,,0.0,255.0,No,3960000,Sandown,21,4.0,3.0,2.0,2.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114665560,5 Bedroom House for Sale,5.0,365.0,No,114665560.0,House,2024-07-15,,0.0,545.0,No,6500000,Sandown,23,5.0,5.0,2.0,3.0
https://www.property24.com/for-sale/sandown/blouberg/western-cape/16739/114566064,4 Bedroom House for Sale,4.0,250.0,No,114566064.0,House,2024-06-21,Yes,0.0,313.0,No,4299000,Sandown,47,4.0,2.5,2.0,2.0
